Índice;;;;;;;;;;;;;;;
COD (NUTS2013);Designação;1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;
;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023
1701106;Lisboa;3 308;3 258;3 187;3 083;;4 167;4 151;4 080;3 965;;5 376;5 263;5 208;5 060
1701107;Loures;1 910;1 868;1 836;1 795;;2 482;2 430;2 380;2 293;;3 060;3 010;2 947;2 813
1701109;Mafra;1 743;1 703;1 650;1 628;;2 200;2 171;2 118;2 135;;2 913;2 824;2 708;2 657
1701506;Moita;1 202;1 143;1 077;1 048;;1 498;1 446;1 405;1 350;;1 767;1 696;1 661;1 601
1701507;Montijo;1 413;1 411;1 422;1 398;;1 840;1 835;1 792;1 749;;2 194;2 178;2 128;2 062
1701116;Odivelas;2 109;2 062;2 041;2 010;;2 517;2 497;2 464;2 448;;2 984;2 972;2 883;2 871
1701110;Oeiras;2 551;2 600;2 572;2 535;;3 158;3 177;3 145;3 093;;3 833;3 857;3 810;3 704
1701508;Palmela;1 462;1 431;1 385;1 320;;1 764;1 716;1 654;1 605;;2 056;2 000;1 953;1 894
1701510;Seixal;1 687;1 632;1 583;1 531;;1 992;1 924;1 878;1 821;;2 361;2 280;2 222;2 165
1701511;Sesimbra;1 740;1 734;1 707;1 641;;2 086;2 091;2 070;2 012;;2 585;2 634;2 628;2 515
1701512;Setúbal;1 466;1 438;1 398;1 352;;1 835;1 811;1 758;1 709;;2 271;2 208;2 160;2 115
1701111;Sintra;1 700;1 647;1 607;1 570;;2 014;1 957;1 913;1 868;;2 336;2 270;2 232;2 188
1701114;Vila Franca de Xira;1 545;1 503;1 459;1 434;;1 897;1 886;1 833;1 798;;2 238;2 222;2 177;2 136
18;Alentejo;476;475;474;474;;907;892;878;869;;1 404;1 374;1 334;1 298
181;Alentejo Litoral;992;962;919;934;;1 605;1 563;1 493;1 458;;2 258;2 256;2 151;2 151
1811501;Alcácer do Sal;687;717;717;717;;1 273;1 351;1 277;1 222;;2 127;2 198;1 978;1 916
1811505;Grândola;1 166;1 145;1 111;1 111;;2 067;1 924;1 833;1 793;;4 617;4 328;3 882;3 684
1810211;Odemira;789;796;773;816;;1 392;1 413;1 328;1 378;;2 105;2 170;1 977;2 000
1811509;Santiago do Cacém;1 033;953;933;874;;1 549;1 526;1 432;1 354;;1 931;1 955;1 944;1 820
1811513;Sines;1 492;1 366;1 325;1 321;;1 925;1 786;1 718;1 718;;2 452;2 216;2 131;2 200
184;Baixo Alentejo;340;344;333;344;;629;618;617;635;;1 008;995;972;955
1840201;Aljustrel;290;344;300;346;;584;579;614;659;;895;845;874;938
1840202;Almodôvar;342;313;384;288;;625;625;682;621;;1 015;1 098;1 175;1 136
1840205;Beja;523;500;488;491;;932;881;868;858;;1 307;1 261;1 225;1 122
1840206;Castro Verde;265;282;268;252;;514;498;500;475;;1 044;918;900;755
1840207;Cuba;367;381;263;280;;614;627;552;580;;860;1 012;972;965
1840208;Ferreira do Alentejo;296;301;297;327;;582;606;551;520;;1 037;983;947;833
1840209;Mértola;144;156;144;152;;417;417;357;412;;893;833;815;844
1840210;Moura;302;335;371;368;;514;533;562;562;;791;772;791;771
1840212;Ourique;368;265;241;258;;765;540;531;595;;910;902;898;1 019
1840213;Serpa;326;365;357;353;;561;600;584;607;;900;878;862;870
1840214;Vidigueira;318;282;259;277;;618;548;490;473;;900;796;773;773
